id,remark,sex,age_range,dept,account_type,company_code,ria_nickname,district,zichao,yewu,chongzhi,jiaofei,baoxiu,yehuaqi,fankui
98,1,1,2,0,0,4,1,7,12,0,0,1,0,0,0
99,1,0,4,0,0,4,0,2,19,0,0,0,0,0,0
100,2,1,4,0,0,4,1,2,19,0,0,24,0,0,1
101,1,0,2,0,0,4,0,1,9,0,0,0,0,0,0
102,1,0,2,0,0,4,7,2,17,0,0,3,0,0,0
103,1,1,4,0,0,4,1,6,19,0,0,21,0,0,0
104,1,0,4,0,0,4,1,7,21,2,0,19,0,0,0
105,1,1,3,0,0,4,1,14,11,0,0,0,0,0,0
106,1,1,2,0,0,4,0,7,10,1,0,2,0,0,0
107,1,0,5,0,0,4,0,6,12,0,0,12,0,0,0
108,1,0,2,0,0,4,1,6,17,0,0,3,0,0,0
109,1,1,4,0,0,4,1,6,17,0,0,0,0,0,0
110,1,0,2,0,0,4,1,1,12,2,7,4,0,0,0
111,1,1,2,0,0,4,1,1,19,1,0,0,0,0,0
112,1,0,2,0,0,4,1,1,11,0,0,0,0,0,0
113,1,0,4,0,0,4,0,1,19,0,0,16,0,0,0
114,1,0,3,0,0,4,1,1,7,0,0,0,1,0,0
115,1,0,2,0,0,4,1,1,19,0,0,1,0,0,0
116,1,0,2,0,0,4,0,2,15,0,0,0,0,0,0
117,1,0,2,0,0,4,2,6,7,0,0,1,0,0,0
118,1,0,5,0,0,4,0,2,19,0,0,6,0,0,0
119,1,0,2,0,0,4,1,6,11,0,0,1,0,0,0
120,1,1,2,0,0,4,1,2,7,0,0,0,0,0,0
121,1,1,5,0,0,4,3,7,13,0,0,0,0,0,0
122,1,0,2,0,0,4,1,2,17,0,0,8,0,0,0
123,1,1,3,0,0,4,1,1,8,0,0,4,0,0,0
124,1,0,3,0,0,4,1,1,9,0,0,10,0,0,0
125,1,0,5,0,0,4,1,6,5,1,0,0,0,0,0
126,1,1,1,0,0,4,1,2,7,0,0,0,0,0,0
127,1,0,2,0,0,4,2,6,6,0,0,3,0,0,0
128,1,0,3,0,0,4,1,7,16,1,0,0,0,0,0
129,1,0,2,0,0,4,0,15,15,0,0,0,0,0,0
130,1,0,3,0,0,4,1,5,18,0,0,0,0,0,0
131,1,0,3,0,0,4,0,14,10,0,0,4,0,0,0
132,1,0,4,0,0,4,2,6,13,0,0,3,0,0,0
133,1,0,5,0,0,4,1,7,13,0,0,1,0,0,0
134,1,0,2,0,0,4,1,2,7,0,0,5,1,0,0
135,1,0,4,0,0,4,1,6,12,0,0,0,0,0,0
136,1,1,2,0,0,4,1,7,8,0,0,2,0,0,0
137,1,0,3,0,0,4,1,2,14,3,0,7,0,0,1
138,1,0,2,0,0,4,1,2,10,1,0,0,0,0,0
139,1,0,5,0,0,4,0,2,19,0,0,6,0,0,0
140,1,0,2,0,0,4,0,7,16,0,0,0,0,0,0
141,1,0,2,0,0,4,1,2,18,0,1,3,0,0,0
142,1,0,3,0,0,4,1,6,10,0,0,0,0,0,0
143,1,1,3,0,0,4,1,6,7,0,0,0,0,0,0
144,1,0,2,0,0,4,1,6,10,0,0,4,0,0,0
145,1,0,2,0,0,4,2,9,6,0,0,0,0,0,0
146,1,0,4,0,0,4,1,6,12,0,0,0,0,0,0
147,2,0,3,0,0,4,1,9,13,0,0,2,0,0,0
148,1,0,2,0,0,4,1,6,8,0,0,0,0,0,0
149,1,0,2,0,0,4,0,6,13,2,0,0,0,0,0
150,1,1,2,0,0,4,0,1,13,0,0,1,0,0,0
151,1,0,4,0,0,4,1,14,10,0,0,0,0,0,0
152,1,0,2,0,0,4,1,7,18,0,0,4,0,0,0
153,1,0,2,0,0,4,1,1,19,0,0,0,0,0,0
154,1,0,2,0,0,4,1,1,15,2,0,0,0,0,0
155,1,0,5,0,0,4,7,2,15,0,0,7,0,0,1
156,1,0,2,0,0,4,2,2,14,0,1,0,0,0,0
157,1,0,5,0,0,4,1,6,9,0,0,1,0,0,0
158,1,0,4,0,0,4,1,13,16,0,2,17,0,0,0
159,1,1,2,0,0,4,1,7,16,0,0,0,0,0,0
160,1,0,3,0,0,4,1,1,7,0,0,4,0,0,0
161,1,0,2,0,0,4,1,1,16,0,0,22,0,0,0
162,1,0,2,0,0,4,1,2,12,0,0,2,0,0,0
163,1,1,2,0,0,4,1,2,9,0,0,0,0,0,0
164,1,0,3,0,0,4,0,2,16,0,0,1,0,0,0
165,1,0,5,0,0,4,3,14,18,0,0,0,0,0,0
166,1,0,2,0,0,4,1,14,8,0,0,6,0,0,0
167,1,1,2,0,0,4,1,1,6,0,0,2,0,0,0
168,1,0,3,0,0,4,1,1,16,0,0,1,0,0,0
169,1,1,4,0,0,4,2,7,11,0,0,0,1,0,0
170,1,1,2,0,0,4,0,6,11,0,0,0,0,0,0
171,1,0,2,0,0,4,1,14,13,0,0,2,0,0,0
172,1,0,3,0,0,4,1,1,16,0,0,10,0,0,0
173,1,0,3,0,0,4,1,2,7,0,0,0,0,0,0
174,1,0,2,0,0,4,1,14,15,0,0,0,0,0,1
175,1,0,3,0,0,4,0,2,18,0,0,3,0,0,0
176,1,0,3,0,0,4,1,2,30,0,0,0,0,0,0
177,1,0,4,0,0,4,0,6,10,0,0,0,0,0,0
178,1,0,5,0,0,4,1,7,22,0,0,21,0,0,0
179,1,0,4,0,0,4,1,7,16,0,0,18,0,0,0
180,1,1,2,0,0,4,1,2,16,0,0,0,0,0,0
181,1,0,4,0,0,4,0,7,19,0,0,7,0,0,0
182,1,0,5,0,0,4,1,2,14,0,0,4,0,0,0
183,1,0,5,0,0,4,0,2,13,0,0,9,0,0,0
184,1,1,5,0,0,4,1,14,8,0,1,2,0,0,0
185,1,1,1,0,0,4,1,7,19,1,0,12,4,0,0
186,1,0,2,0,0,4,0,2,9,0,0,18,1,0,0
187,1,0,2,0,0,4,0,2,19,0,0,0,0,0,0
188,1,0,4,0,0,4,1,1,7,0,0,3,0,0,0
189,1,1,2,0,0,4,1,2,9,0,0,9,0,0,0
190,1,0,4,0,0,4,1,1,16,0,0,0,0,0,0
191,1,1,2,0,0,4,0,6,20,0,0,7,0,0,0
192,1,0,4,0,0,4,3,6,16,0,0,0,0,0,0
